title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
#Alive ,Movie,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/alive.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/alive.jpeg,TV-MA,SuperHD,"Yoo Ah-in, Park Shin-hye",Cho Il,"Horror, Zombie, Korean",6.2/10,98 mins,81240831,2020-09-08,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",Korean
#AnneFrank - Parallel Stories ,Movie,2019,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXOaYza0VP_egNdFX3Us-ge_24maVKbOmppcfuJ83JSFRbLqSpW_v76fXqQmkQzdXIJ-wScjAMFug-HH9rqAXRT2LDHF.jpg,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXOaYza0VP_egNdFX3Us-ge_24maVKbOmppcfuJ83JSFRbLqSpW_v76fXqQmkQzdXIJ-wScjAMFug-HH9rqAXRT2LDHF.jpg,TV-14,SuperHD,"Helen Mirren, Gengher Gatti","Sabina Fedeli, Anna Migotto",Documentary,,94 mins,81264660,2020-07-01,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",English
#FriendButMarried ,Movie,2018,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcqfGr6gtg5Ma9jaetCdJR8fa1boVQh36gY-hVN26f8mo4qB_GDwbxOttIHQ6SzQPCYculSDvZZA3TgURnUI3KKjgjek.jpg,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcqfGr6gtg5Ma9jaetCdJR8fa1boVQh36gY-hVN26f8mo4qB_GDwbxOttIHQ6SzQPCYculSDvZZA3TgURnUI3KKjgjek.jpg,TV-G,SuperHD,"Adipati Dolken, Vanesha Prescilla, Refal Hady, Denira Wiraguna",Rako Prijanto,"Biography, Drama",7.1/10,102 min,81260630,2020-05-22,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",Indonesian
#FriendButMarried 2 ,Movie,2020,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXeYcO3UbG0pWu_5UlGX6ItIu7AVki5pW59sBj7CV0bRaivPvo5xb6Zz1mXCNeWq-Llujcm0FyhG0UO4wjZVxVn1Snua.jpg,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXeYcO3UbG0pWu_5UlGX6ItIu7AVki5pW59sBj7CV0bRaivPvo5xb6Zz1mXCNeWq-Llujcm0FyhG0UO4wjZVxVn1Snua.jpg,TV-G,SuperHD,"Adipati Dolken, Mawar Eva de Jongh, Vonny Cornellya, Sari Nila",Rako Prijanto,"Biography, Drama, Romance",,104 mins,81260637,2020-06-28,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",Indonesian
#realityhigh,Movie,2017,https://occ-0-114-116.1.nflxso.net/art/37403/d38f24c5b48414b5b9432790538060719ad37403.jpg,https://occ-0-114-116.1.nflxso.net/art/37403/d38f24c5b48414b5b9432790538060719ad37403.jpg,TV-14,SuperHD,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers",Fernando Lebrija,,5.2/10,99 minutes,80125979,2017-09-08,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",English
01-Oct,Movie,2014,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUOhSjjyvKg6YhDjKXShJTLSBQWZBTsqKZrTn2rm7srHcerIwwYdH9yNQ1j6rvf8DVTs4XovlOeXdZ9F2ruIdL96qzVRZP9AyA.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUOhSjjyvKg6YhDjKXShJTLSBQWZBTsqKZrTn2rm7srHcerIwwYdH9yNQ1j6rvf8DVTs4XovlOeXdZ9F2ruIdL96qzVRZP9AyA.jpg,TV-14,SuperHD,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole",Kunle Afolayan,,6.5/10,148 minutes,80032842,2019-09-01,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",English
100 Days with Tata ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/100dayswithtata.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/100dayswithtata.jpeg,TV-14,,"Luisa Cantero, Miguel Ángel Muñoz",Miguel Ángel Muñoz,Documentary,,82 min,81594658,2022-06-02,"During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star.",Spanish
100 Meters,Movie,2016,https://occ-0-114-116.1.nflxso.net/art/13ca5/ddb64e24669e43e0c1e866ad1293f47198013ca5.jpg,https://occ-0-114-116.1.nflxso.net/art/13ca5/ddb64e24669e43e0c1e866ad1293f47198013ca5.jpg,TV-MA,SuperHD,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer",Marcel Barrena,,7.5/10,108 minutes,80141173,2017-03-10,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",Spanish
100 Things to do Before High School,Movie,2014,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYHWvPh2CKID-IM7SRt7RRJi5oiaZV72OT97fGPT7yVsXAkOLs63lCX_Y8cAOpoquALyFCAVVuUOInMUvmZDrBjIAJhf.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYHWvPh2CKID-IM7SRt7RRJi5oiaZV72OT97fGPT7yVsXAkOLs63lCX_Y8cAOpoquALyFCAVVuUOInMUvmZDrBjIAJhf.jpg,TV-Y,SuperHD,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena",,,6.1/10,44 minutes,81215856,2019-11-01,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",English
100% Halal ,Movie,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/100halal.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/100halal.jpeg,TV-14,SuperHD,"Anisa Rahma, Anandito Dwis, Kinaryosih, Arafah Rianti",Jastis Arimba,Drama,,100 mins,81362739,2021-01-07,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",Indonesian
