title,type,titlereleased,rating,actors,director,category,imdb,runtime,description,language,actor_0,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,actor_11,actor_12,actor_13,actor_14,actor_15,actor_16,actor_17,actor_18,actor_19,actor_20,director_0,director_1,director_2,director_3,director_4,director_5,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7
#Alive ,Movie,2020,TV-MA,"Yoo Ah-in, Park Shin-hye",Cho Il,"Horror, Zombie, Korean",6.2,98 mins,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",Korean,Yoo Ah-in,Park Shin-hye,,,,,,,,,,,,,,,,,,,,Cho Il,,,,,,Horror,Zombie,Korean,,,,,
#AnneFrank - Parallel Stories ,Movie,2019,TV-14,"Helen Mirren, Gengher Gatti","Sabina Fedeli, Anna Migotto",Documentary,,94 mins,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",English,Helen Mirren,Gengher Gatti,,,,,,,,,,,,,,,,,,,,Sabina Fedeli,Anna Migotto,,,,,Documentary,,,,,,,
#FriendButMarried ,Movie,2018,TV-G,"Adipati Dolken, Vanesha Prescilla, Refal Hady, Denira Wiraguna",Rako Prijanto,"Biography, Drama",7.1,102 min,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",Indonesian,Adipati Dolken,Vanesha Prescilla,Refal Hady,Denira Wiraguna,,,,,,,,,,,,,,,,,,Rako Prijanto,,,,,,Biography,Drama,,,,,,
#FriendButMarried 2 ,Movie,2020,TV-G,"Adipati Dolken, Mawar Eva de Jongh, Vonny Cornellya, Sari Nila",Rako Prijanto,"Biography, Drama, Romance",,104 mins,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",Indonesian,Adipati Dolken,Mawar Eva de Jongh,Vonny Cornellya,Sari Nila,,,,,,,,,,,,,,,,,,Rako Prijanto,,,,,,Biography,Drama,Romance,,,,,
#realityhigh,Movie,2017,TV-14,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers",Fernando Lebrija,,5.2,99 minutes,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",English,Nesta Cooper,Kate Walsh,John Michael Higgins,Keith Powers,,,,,,,,,,,,,,,,,,Fernando Lebrija,,,,,,,,,,,,,
01-Oct,Movie,2014,TV-14,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole",Kunle Afolayan,,6.5,148 minutes,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",English,Sadiq Daba,David Bailie,Kayode Olaiya,Kehinde Bankole,,,,,,,,,,,,,,,,,,Kunle Afolayan,,,,,,,,,,,,,
100 Days with Tata ,Movie,2021,TV-14,"Luisa Cantero, Miguel Ángel Muñoz",Miguel Ángel Muñoz,Documentary,,82 min,"During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star.",Spanish,Luisa Cantero,Miguel Ángel Muñoz,,,,,,,,,,,,,,,,,,,,Miguel Ángel Muñoz,,,,,,Documentary,,,,,,,
100 Meters,Movie,2016,TV-MA,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer",Marcel Barrena,,7.5,108 minutes,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",Spanish,Dani Rovira,Karra Elejalde,Alexandra Jiménez,David Verdaguer,,,,,,,,,,,,,,,,,,Marcel Barrena,,,,,,,,,,,,,
100 Things to do Before High School,Movie,2014,TV-Y,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena",,,6.1,44 minutes,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",English,Isabela Moner,Jaheem Toombs,Owen Joyner,Jack De Sena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Halal ,Movie,2020,TV-14,"Anisa Rahma, Anandito Dwis, Kinaryosih, Arafah Rianti",Jastis Arimba,Drama,,100 mins,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",Indonesian,Anisa Rahma,Anandito Dwis,Kinaryosih,Arafah Rianti,,,,,,,,,,,,,,,,,,Jastis Arimba,,,,,,Drama,,,,,,,
1000 Miles from Christmas ,Movie,2021,TV-PG,"Tamar Novas, Verónica Forqué, Peter Vives",Álvaro Fernández Armero,"Adventure, Comedy, Family",,111 min,"An auditor who completely despises Christmas is sent to a small town for work, where he meets a woman determined to change his view about the holiday.",Spanish,Tamar Novas,Verónica Forqué,Peter Vives,,,,,,,,,,,,,,,,,,,Álvaro Fernández Armero,,,,,,Adventure,Comedy,Family,,,,,
11:11 ,Movie,2022,TV-14,"Eyad Nassar, Ghada Adel, Injy Al Moqaddem, Omar El Shenawy, Mohamed Al-Sharnuby, Nour Ehab",Karim Abouzeid,"Horror, Thriller",,95 min,"When a troubled lawyer attempts suicide in his car, the stray bullet triggers a series of events intertwining the lives of three strangers.",Arabic,Eyad Nassar,Ghada Adel,Injy Al Moqaddem,Omar El Shenawy,Mohamed Al-Sharnuby,Nour Ehab,,,,,,,,,,,,,,,,Karim Abouzeid,,,,,,Horror,Thriller,,,,,,
11M: Terror in Madrid ,Movie,2022,TV-14,,Jose Gomez,Documentary,,92 min,"Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",English,,,,,,,,,,,,,,,,,,,,,,Jose Gomez,,,,,,Documentary,,,,,,,
12 Strong ,Movie,2018,R,"Chris Hemsworth, Michael Shannon, Michael Peña",Nicolai Fuglsig,"Action, Drama, History",,130 min,"Following 9/11, a dozen US soldiers mount up on horseback in Afghanistan to help a local warlord take on a mutual enemy. Inspired by true events.",English,Chris Hemsworth,Michael Shannon,Michael Peña,,,,,,,,,,,,,,,,,,,Nicolai Fuglsig,,,,,,Action,Drama,History,,,,,
122,Movie,2019,TV-MA,"Ahmed Dawood, Tarek Lotfy, Amina Khalil, Ahmad El-Fishawi",Yasir Al-Yasiri,"Horror, Thriller",7.1,95 min,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape -- before death finds them.",Arabic,Ahmed Dawood,Tarek Lotfy,Amina Khalil,Ahmad El-Fishawi,,,,,,,,,,,,,,,,,,Yasir Al-Yasiri,,,,,,Horror,Thriller,,,,,,
137 Shots ,Movie,2021,TV-MA,,Michael Milano,Documentary,,105 mins,"In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.",English,,,,,,,,,,,,,,,,,,,,,,Michael Milano,,,,,,Documentary,,,,,,,
13: The Musical ,Movie,2022,PG,"Josh Peck, Rhea Perlman, Peter Hermann",Tamra Davis,"Comedy, Drama, Family",,91 min,"After moving from New York to Indiana in the wake of his parents' divorce, a clever middle schooler is determined to throw the best bar mitzvah ever.",English,Josh Peck,Rhea Perlman,Peter Hermann,,,,,,,,,,,,,,,,,,,Tamra Davis,,,,,,Comedy,Drama,Family,,,,,
13TH,Movie,2016,TV-MA,,Ava DuVernay,,8.2,100 minutes,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",English,,,,,,,,,,,,,,,,,,,,,,Ava DuVernay,,,,,,,,,,,,,
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,Movie,2017,TV-PG,"Oprah Winfrey, Ava DuVernay",,,6.9,36 minutes,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",English,Oprah Winfrey,Ava DuVernay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Peaks: Nothing Is Impossible ,Movie,2021,TV-MA,,Torquil Jones,"Documentary, Adventure, Sport",,101 min,"Fearless Nepali mountaineer Nimsdai Purja embarks on a seemingly impossible quest to summit all 14 of the world's 8,000-meter peaks in seven months.",English,,,,,,,,,,,,,,,,,,,,,,Torquil Jones,,,,,,Documentary,Adventure,Sport,,,,,
15-Aug,Movie,2019,TV-14,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale",Swapnaneel Jayakar,,5.8,124 minutes,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",Marathi,Rahul Pethe,Mrunmayee Deshpande,Adinath Kothare,Vaibhav Mangale,,,,,,,,,,,,,,,,,,Swapnaneel Jayakar,,,,,,,,,,,,,
