,movie_title,imdb_id,item_id,year
0,Toy Story,0114709,1,(1995)
1,Jumanji,0113497,2,(1995)
2,Grumpier Old Men,0113228,3,(1995)
3,Waiting to Exhale,0114885,4,(1995)
4,Father of the Bride Part II,0113041,5,(1995)
5,Heat,0113277,6,(1995)
6,Sabrina,0114319,7,(1995)
7,Tom and Huck,0112302,8,(1995)
8,Sudden Death,0114576,9,(1995)
9,GoldenEye,0113189,10,(1995)
10,"American President, The",0112346,11,(1995)
11,Dracula: Dead and Loving It,0112896,12,(1995)
12,Balto,0112453,13,(1995)
13,Nixon,0113987,14,(1995)
14,Cutthroat Island,0112760,15,(1995)
15,Casino,0112641,16,(1995)
16,Sense and Sensibility,0114388,17,(1995)
17,Four Rooms,0113101,18,(1995)
18,Ace Ventura: When Nature Calls,0112281,19,(1995)
19,Money Train,0113845,20,(1995)
20,Get Shorty,0113161,21,(1995)
21,Copycat,0112722,22,(1995)
22,Assassins,0112401,23,(1995)
23,Powder,0114168,24,(1995)
24,Leaving Las Vegas,0113627,25,(1995)
25,Othello,0114057,26,(1995)
26,Now and Then,0114011,27,(1995)
27,Persuasion,0114117,28,(1995)
28,"City of Lost Children, The (Cité des enfants perdus, La)",0112682,29,(1995)
29,Shanghai Triad (Yao a yao yao dao waipo qiao),0115012,30,(1995)
30,Dangerous Minds,0112792,31,(1995)
31,Twelve Monkeys (a.k.a. 12 Monkeys),0114746,32,(1995)
32,Wings of Courage,0114952,33,(1995)
33,Babe,0112431,34,(1995)
34,Carrington,0112637,35,(1995)
35,Dead Man Walking,0112818,36,(1995)
36,Across the Sea of Time,0112286,37,(1995)
37,It Takes Two,0113442,38,(1995)
38,Clueless,0112697,39,(1995)
39,"Cry, the Beloved Country",0112749,40,(1995)
40,Richard III,0114279,41,(1995)
41,Dead Presidents,0112819,42,(1995)
42,Restoration,0114272,43,(1995)
43,Mortal Kombat,0113855,44,(1995)
44,To Die For,0114681,45,(1995)
45,How to Make an American Quilt,0113347,46,(1995)
46,Seven (a.k.a. Se7en),0114369,47,(1995)
47,Pocahontas,0114148,48,(1995)
48,When Night Is Falling,0114916,49,(1995)
49,"Usual Suspects, The",0114814,50,(1995)
50,Guardian Angel,0109950,51,(1994)
51,Mighty Aphrodite,0113819,52,(1995)
52,Lamerica,0110299,53,(1994)
53,"Big Green, The",0112499,54,(1995)
54,Georgia,0113158,55,(1995)
55,Kids of the Round Table,0113541,56,(1995)
56,Home for the Holidays,0113321,57,(1995)
57,"Postman, The (Postino, Il)",0110877,58,(1994)
58,"Confessional, The (Confessionnal, Le)",0112714,59,(1995)
59,"Indian in the Cupboard, The",0113419,60,(1995)
60,Eye for an Eye,0116260,61,(1996)
61,Mr. Holland's Opus,0113862,62,(1995)
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0116126,63,(1996)
63,Two if by Sea,0118002,64,(1996)
64,Bio-Dome,0115683,65,(1996)
65,Lawnmower Man 2: Beyond Cyberspace,0116839,66,(1996)
66,Two Bits,0114753,67,(1995)
67,French Twist (Gazon maudit),0113149,68,(1995)
68,Friday,0113118,69,(1995)
69,From Dusk Till Dawn,0116367,70,(1996)
70,Fair Game,0113010,71,(1995)
71,Kicking and Screaming,0113537,72,(1995)
72,"Misérables, Les",0113828,73,(1995)
73,Bed of Roses,0115644,74,(1996)
74,Big Bully,0115676,75,(1996)
75,Screamers,0114367,76,(1995)
76,Nico Icon,0113973,77,(1995)
77,"Crossing Guard, The",0112744,78,(1995)
78,"Juror, The",0116731,79,(1996)
79,"White Balloon, The (Badkonake sefid)",0112445,80,(1995)
80,Things to Do in Denver When You're Dead,0114660,81,(1995)
81,Antonia's Line (Antonia),0112379,82,(1995)
82,Once Upon a Time... When We Were Colored,0114039,83,(1995)
83,Last Summer in the Hamptons,0113612,84,(1995)
84,Angels and Insects,0112365,85,(1995)
85,White Squall,0118158,86,(1996)
86,Dunston Checks In,0116151,87,(1996)
87,Black Sheep,0115697,88,(1996)
88,Nick of Time,0113972,89,(1995)
89,The Journey of August King,0113490,90,(1995)
90,Mary Reilly,0117002,92,(1996)
91,Vampire in Brooklyn,0114825,93,(1995)
92,Beautiful Girls,0115639,94,(1996)
93,Broken Arrow,0115759,95,(1996)
94,In the Bleak Midwinter,0113403,96,(1995)
95,"Hate (Haine, La)",0113247,97,(1995)
96,Shopping,0111173,98,(1994)
97,Heidi Fleiss: Hollywood Madam,0113283,99,(1995)
98,City Hall,0115907,100,(1996)
99,Bottle Rocket,0115734,101,(1996)
100,Mr. Wrong,0117102,102,(1996)
101,Unforgettable,0118040,103,(1996)
102,Happy Gilmore,0116483,104,(1996)
103,"Bridges of Madison County, The",0112579,105,(1995)
104,Nobody Loves Me (Keiner liebt mich),0110251,106,(1994)
105,Muppet Treasure Island,0117110,107,(1996)
106,Catwalk,0112646,108,(1996)
107,Headless Body in Topless Bar,0113276,109,(1995)
108,Braveheart,0112573,110,(1995)
109,Taxi Driver,0075314,111,(1976)
110,Rumble in the Bronx (Hont faan kui),0113326,112,(1995)
111,Before and After,0115645,113,(1996)
112,Margaret's Museum,0113774,114,(1995)
113,"Happiness Is in the Field (Bonheur est dans le pré, Le)",0112556,115,(1995)
114,Anne Frank Remembered,0112373,116,(1995)
115,"Young Poisoner's Handbook, The",0115033,117,(1995)
116,If Lucy Fell,0116606,118,(1996)
117,"Steal Big, Steal Little",0114536,119,(1995)
118,Race the Sun,0117427,120,(1996)
119,"Boys of St. Vincent, The",0106473,121,(1992)
120,Boomerang,0103859,122,(1992)
