Unnamed: 0,movie_title,imdb_id,item_id,year
109,Taxi Driver,75314,111,(1976)
57676,Taxi Driver,47561,185225,(1954)
64103,Taxi Driver,5112438,198091,(2015)
2786,Deliverance,68473,2871,(1972)
1113,Monty Python and the Holy Grail,71853,1136,(1975)
4760,Dirty Harry,66999,4855,(1971)
1062,Bonnie and Clyde,61418,1084,(1967)
22726,Bonnie and Clyde,2707792,107400,(2013)
28209,The Blue Lagoon,41190,123545,(1949)
10724,Richard Pryor: Live in Concert,79807,42163,(1979)
3585,White Christmas,47673,3675,(1954)
52928,Hitler: A Career,191182,175717,(1977)
35571,FTA,68562,139883,(1972)
26919,The Land,33811,120785,(1942)
46244,The Land,5164412,162204,(2016)
83813,Saladin the Victorious,57357,237620,(1963)
79994,Alibaba Aur 40 Chor,79749,229983,(1979)
38098,Dark Waters,391908,145134,(2003)
53626,Dark Waters,109550,177115,(1993)
69063,Dark Waters,9071322,208108,(2019)
30791,Singapore,39829,130022,(1947)
82633,Whispers,1986202,235261,(2015)
1196,Full Metal Jacket,93058,1222,(1987)
1201,Once Upon a Time in America,87843,1227,(1984)
1278,When Harry Met Sally...,98635,1307,(1989)
3752,Steel Magnolias,98384,3844,(1989)
2294,Police Academy,87928,2378,(1984)
2433,Christine,85333,2517,(1983)
25318,Christine,51477,116042,(1958)
47122,Christine,4666726,163971,(2016)
57023,Christine,249442,183917,(1987)
3019,Awakenings,99077,3105,(1990)
77177,Awakenings,6950660,224350,(2017)
4009,Eddie Murphy Raw,92948,4102,(1987)
3334,She's Gotta Have It,91939,3422,(1986)
5631,Endless Love,82329,5729,(1981)
23268,Endless Love,2318092,109189,(2014)
25494,Endless Love,111770,116449,(1993)
40129,Mobile Suit Gundam: Char's Counterattack,95262,149410,(1988)
35773,Mobile Suit Gundam II: Soldiers of Sorrow,159510,140293,(1981)
50895,Sam Kinison: Breaking the Rules,307403,171637,(1987)
50623,Waiting for the Hearse,89108,171093,(1985)
81378,Tim Allen: Men Are Pigs,259057,232751,(1990)
35774,Mobile Suit Gundam III: Encounters in Space,159511,140295,(1982)
6006,Monty Python Live at the Hollywood Bowl,84352,6104,(1982)
16542,Disco Dancer,208903,83038,(1983)
36777,Agneepath,1849718,142382,(2012)
34262,Too Young The Hero,96286,137204,(1988)
34518,A Stoning in Fulham County,96179,137729,(1988)
34219,The Ryan White Story,98237,137118,(1989)
34154,Dil,99429,136986,(1990)
34350,The George McKenna Story,91106,137381,(1986)
34497,In Defense of a Married Man,99396,137686,(1990)
30928,Bill Hicks: Sane Man,287337,130347,(1989)
66161,"Alexandria, Again and Forever",99858,202209,(1990)
81389,Duniya,301231,232773,(1984)
62578,Quiet Victory: The Charlie Wedemeyer Story,95945,195035,(1988)
640,Mission: Impossible,117060,648,(1996)
1616,Boogie Nights,118749,1673,(1997)
352,Forrest Gump,109830,356,(1994)
3918,Snatch,208092,4011,(2000)
1661,Titanic,120338,1721,(1997)
3317,Titanic,46435,3404,(1953)
26381,Titanic,115392,118916,(1996)
55894,Titanic,36443,181653,(1943)
1619,Starship Troopers,120201,1676,(1997)
3533,Mission: Impossible II,120755,3623,(2000)
1596,Gattaca,119177,1653,(1997)
285,Natural Born Killers,110632,288,(1994)
2340,You've Got Mail,128853,2424,(1998)
2609,Big Daddy,142342,2694,(1999)
2244,Vampires,120877,2328,(1998)
19446,Vampires,1500906,95732,(2010)
1429,Donnie Brasco,119008,1466,(1997)
3100,"Girl, Interrupted",172493,3186,(1999)
481,Last Action Hero,107362,485,(1993)
5872,My Girl,102492,5970,(1991)
47205,My Girl,399040,164137,(2003)
379,Wyatt Earp,111756,383,(1994)
773,Eraser,116213,786,(1996)
470,In the Line of Fire,107206,474,(1993)
258,Little Women,110367,261,(1994)
4826,Little Women,24264,4921,(1933)
6943,Little Women,41594,7054,(1949)
66129,Little Women,6495094,202145,(2018)
69666,Little Women,3281548,209315,(2019)
1719,U.S. Marshals,120873,1792,(1998)
1456,Anaconda,118615,1499,(1997)
1565,Seven Years in Tibet,120102,1619,(1997)
43785,The Net,434231,157148,(2003)
59826,The Net,5996202,189527,(2016)
69846,The Net,6864720,209675,(2017)
430,Cliffhanger,106582,434,(1993)
489,Menace II Society,107554,493,(1993)
170,Johnny Mnemonic,113481,172,(1995)
4654,3 Ninjas Kick Back,109015,4749,(1994)
2542,Edge of Seventeen,138414,2626,(1998)
1539,Spawn,120177,1591,(1997)
3693,Croupier,159382,3783,(1998)
454,Geronimo: An American Legend,107004,458,(1993)
1454,Double Team,119013,1497,(1997)
751,Heavy,113280,764,(1995)
76268,Heavy,5212808,222531,(2019)
1745,The Players Club,119905,1825,(1998)
53314,Children of God,6051792,176491,(1994)
70602,Children of God,1490602,211191,(2011)
65242,Knight Rider 2000,102227,200372,(1991)
27979,Sankofa,108041,123063,(1993)
66974,Wild Tango,108291,203839,(1993)
21195,Bill Hicks: Revelations,152183,102217,(1993)
55261,Bombay,112553,180385,(1995)
2238,Soldier,120157,2322,(1998)
38643,Soldier,211634,146262,(1999)
